SymbolName,Kind,File,Line,OneLineRole
FGameplayCueTag,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueInterface.h,186,Wrapper struct around a gameplaytag with the GameplayCue category
FMinimalGameplayCueReplicationProxy,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueInterface.h,206,Alternative way of replicating gameplay cues without fast TArray serialization
FGameplayCueObjectLibrary,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueManager.h,50,ObjectLibrary for the GameplayCue Notifies
UGameplayCueManager,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueManager.h,129,Singleton manager that dispatches gameplay cues and spawns GameplayCueNotify actors
FMyGameplayCueNotify_CustomBurstEffects,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,44,Example aggregation of non-inheritable Gameplay Cue Notify structs
EGameplayCueNotify_EffectPlaySpace,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,67,What coordinate space effects (like camera shakes) should be applied in
EGameplayCueNotify_LocallyControlledSource,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,83,What actor to use when determining if the cue notify is locally controlled
EGameplayCueNotify_LocallyControlledPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,99,If the gameplay cue notify should spawn based on it being locally controlled
FGameplayCueNotify_SpawnCondition,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,118,Conditions used to determine if the gameplay cue notify should spawn
EGameplayCueNotify_AttachPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,158,If the gameplay cue notify should attach to the target actor
FGameplayCueNotify_PlacementInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,174,How the gameplay cue notify will be positioned in the world
FGameplayCueNotify_SpawnResult,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,269,Temporary structure to track results of spawning components
FGameplayCueNotify_ParticleInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,313,Properties that specify how to play a particle effect
FGameplayCueNotify_SoundParameterInterfaceInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,355,Properties for interfacing with the ISoundParameterControllerInterface
FGameplayCueNotify_SoundInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,374,Properties that specify how to play a sound effect
FGameplayCueNotify_CameraShakeInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,435,Properties that specify how to play a camera shake
FGameplayCueNotify_CameraLensEffectInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,498,Properties that specify how to play a camera lens effect
FGameplayCueNotify_ForceFeedbackInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,549,Properties that specify how to play a force feedback effect
FGameplayCueNotify_InputDevicePropertyInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,609,Properties to set input device properties during a gameplay cue notify
FGameplayCueNotify_DecalInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,633,Properties that specify how to spawn a decal
FGameplayCueNotify_BurstEffects,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,686,Set of effects to spawn for a single event used by all cue notify types
FGameplayCueNotify_LoopingEffects,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotifyTypes.h,734,Set of looping effects to spawn for looping gameplay cues
AGameplayCueNotify_Actor,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotify_Actor.h,19,Instantiated Actor that acts as a handler of a GameplayCue
UGameplayCueNotify_Burst,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotify_Burst.h,19,Non-instanced gameplay cue notify for one-off effects
AGameplayCueNotify_BurstLatent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotify_BurstLatent.h,19,Instanced gameplay cue notify for one-off effects that can use latent actions
UGameplayCueNotify_HitImpact,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotify_HitImpact.h,20,Non-instanced GameplayCueNotify for spawning particle and sound FX (deprecated)
AGameplayCueNotify_Looping,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotify_Looping.h,19,Instanced gameplay cue notify for continuous looping effects
UGameplayCueNotify_Static,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotify_Static.h,18,Non-instantiated UObject that acts as a handler for GameplayCue
FGameplayCueNotifyData,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueSet.h,15,Gameplay cue notify data
UGameplayCueSet,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueSet.h,52,A set of gameplay cue actors to handle gameplay cue events
FGameplayCueTranslatorNodeIndex,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueTranslator.h,100,Simple index/handle for referencing items in the translation LUT
FGameplayCueTranslationLink,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueTranslator.h,126,Translation from one FGameplayCueTranslatorNode to many others
FGameplayCueTranslatorNode,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueTranslator.h,140,A node in the translation table/graph representing an actual or possible gameplaytag
FGameplayCueTranslationManager,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueTranslator.h,181,Does the actual translation; lives on the GameplayCueManager
UGameplayCueTranslator,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueTranslator.h,260,Base class for GameplayCue Translators that games extend to add rules
UGameplayCueTranslator_Test,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueTranslator.h,286,An example translator class
EGameplayCuePayloadType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCue_Types.h,22,Describes what type of payload is attached to a cue execution
FGameplayCuePendingExecute,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCue_Types.h,33,Keeps track of pending gameplay cues that haven't been applied yet
FGameplayCueNotifyActorArray,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCue_Types.h,64,Array of gameplay cue notify actors
FPreallocationInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCue_Types.h,74,Pooling and preallocating gameplaycuenotify_actor classes per world
EGameplayEffectMagnitudeCalculation,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,66,Possible gameplay effect magnitude calculation policies
EAttributeBasedFloatCalculationType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,80,Possible attribute based float calculation policies
EGameplayEffectVersion,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,94,The version of the UGameplayEffect used for upgrade paths
FAttributeBasedFloat,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,123,Float whose magnitude is dictated by a backing attribute and a calculation policy
FCustomCalculationBasedFloat,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,198,Encapsulates magnitudes calculated via custom calculation
FSetByCallerFloat,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,253,Struct for holding SetByCaller data
FGameplayEffectModifierMagnitude,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,275,Magnitude of a gameplay effect modifier potentially calculated in numerous ways
EGameplayEffectScopedModifierAggregatorType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,405,Types of scoped modifier aggregator usages available
FGameplayEffectExecutionScopedModifierInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,419,Modifier info used exclusively for instantaneous scoped executions
EGameplayEffectGrantedEffectRemovalPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,479,What happens to on-application granted effects when the applying effect is removed
FConditionalGameplayEffect,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,493,Gameplay effects that apply only if another effect or execution was successfully applied
FGameplayEffectExecutionDefinition,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,528,Definition of custom executions that run special logic from an outside class
FGameplayModifierInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,564,Tells us Who/What we modify but not how exactly
FGameplayEffectCue,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,605,GameplayTag plus Min/Max level range mapping effect level to a normalized GameplayCue value
FInheritedTagContainer,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,652,Combines tags from parent and child blueprints in a safe way
EGameplayEffectDurationType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,685,Gameplay effect duration policies
EGameplayEffectStackingDurationPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,697,Policies for the duration of a gameplay effect while stacking
EGameplayEffectStackingPeriodPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,711,Policies for the period of a gameplay effect while stacking
EGameplayEffectStackingExpirationPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,722,Policies for gameplay effect stacks that expire in duration based effects
EGameplayEffectPeriodInhibitionRemovedPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,736,Policies for the effect period when inhibition is removed
FModifierSpec,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,750,Holds evaluated magnitude from a GameplayEffect modifier
FGameplayEffectModifiedAttribute,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,771,Saves list of modified attributes for gameplay cues or later processing
FGameplayEffectAttributeCaptureSpec,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,788,Holds the result of a gameplay attribute capture
FGameplayEffectAttributeCaptureSpecContainer,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,925,Collection of captured source and target attributes
FGameplayEffectSpec,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,1013,GameplayEffect Specification: what effect / level / instigator; modifiable
FGameplayEffectSpecForRPC,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,1295,Cut down version of the gameplay effect spec used for RPCs
FActiveGameplayEffect,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,1354,Active GameplayEffect instance
FGameplayEffectQuery,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,1470,Query where every set condition must match (elements ANDed together)
FActiveGameplayEffectQuery,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,1567,Generic querying data structure for active GameplayEffects
FActiveGameplayEffectsContainer,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,1651,Bucket of ActiveGameplayEffects needed for FFastArraySerialization
FGameplayEffectVersion,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,2073,Always-serialized version storage for Gameplay Effects upgrade paths
UGameplayEffect,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,2103,The GameplayEffect definition data asset that drives everything
EGameplayEffectAttributeCaptureSource,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectAttributeCaptureDefinition.h,11,Options of where to capture gameplay attributes from for gameplay effects
FGameplayEffectAttributeCaptureDefinition,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectAttributeCaptureDefinition.h,22,Defines gameplay attribute capture options for gameplay effects
UGameplayEffectCalculation,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectCalculation.h,14,Abstract base for specialized gameplay effect calculations with attribute captures
UGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponent.h,31,GEComponents define how a GameplayEffect behaves (modular GE composition)
FGameplayAbilitySpecConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/AbilitiesGameplayEffectComponent.h,12,Options on how to configure a GameplayAbilitySpec to grant an Actor
UAbilitiesGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/AbilitiesGameplayEffectComponent.h,37,Grants additional Gameplay Abilities to the Target while the effect is active
UAdditionalEffectsGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/AdditionalEffectsGameplayEffectComponent.h,12,Add additional Gameplay Effects that attempt to activate under certain conditions
UAssetTagsGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/AssetTagsGameplayEffectComponent.h,12,Tags that the Gameplay Effect asset itself owns; do not transfer to Actors
UBlockAbilityTagsGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/BlockAbilityTagsGameplayEffectComponent.h,12,Blocks activation of Gameplay Abilities based on Gameplay Tags for the Target
ECancelAbilityTagsGameplayEffectComponentMode,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/CancelAbilityTagsGameplayEffectComponent.h,13,When the ability cancellation logic for this component happens
UCancelAbilityTagsGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/CancelAbilityTagsGameplayEffectComponent.h,24,Cancels active Gameplay Abilities based on Gameplay Tags for the Target
UChanceToApplyGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/ChanceToApplyGameplayEffectComponent.h,13,Applies a probability to the application conditions of the Gameplay Effect
UCustomCanApplyGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/CustomCanApplyGameplayEffectComponent.h,13,Configures a CustomApplicationRequirement to decide if this effect should apply
UImmunityGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/ImmunityGameplayEffectComponent.h,15,Blocks application of other GameplayEffectSpecs (immunity)
URemoveOtherGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/RemoveOtherGameplayEffectComponent.h,14,Remove other Gameplay Effects based on certain conditions
UTargetTagRequirementsGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/TargetTagRequirementsGameplayEffectComponent.h,14,Tag requirements the Target must meet for this effect to apply or continue
UTargetTagsGameplayEffectComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectComponents/TargetTagsGameplayEffectComponent.h,12,Handles granting Tags to the Target of the Gameplay Effect
UGameplayEffectCustomApplicationRequirement,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectCustomApplicationRequirement.h,15,Performs custom gameplay effect modifier calculations via blueprint or native code
FGameplayEffectCustomExecutionParameters,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectExecutionCalculation.h,20,Parameters for a custom gameplay effect execution
FGameplayEffectCustomExecutionOutput,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectExecutionCalculation.h,200,Output of a custom gameplay effect execution
UGameplayEffectExecutionCalculation,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectExecutionCalculation.h,259,Custom execution calculation
EGameplayModEvaluationChannel,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,53,Valid gameplay modifier evaluation channels
FGameplayModEvaluationChannelSettings,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,73,Evaluation channel settings for a gameplay modifier
EGameplayModOp,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,111,Defines the ways that mods will modify attributes
EGameplayEffectStackingType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,176,How multiple instances of the same GameplayEffect definition stack when applied
FGameplayModifierEvaluatedData,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,193,Data describing what happened in an attribute modification
FGameplayEffectContext,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,247,Stores an instigator and related data; games can subclass to add info
FGameplayEffectContextHandle,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,490,Wraps a FGameplayEffectContext or subclass for polymorphism and replication
FGameplayEffectRemovalInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,809,Information pertinent to GameplayEffects as they are removed
FGameplayCueParameters,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,840,Metadata about a gameplay cue execution
EGameplayCueEvent,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,964,Indicates what type of action happened to a specific gameplay cue tag
EGameplayTagEventType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1031,Whether a tag was added or removed used in callbacks
EGameplayTagReplicationState,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1049,Enum to describe replication rules for each tag
FGameplayTagCountItem,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1059,Tag count item
FGameplayTagCountContainer,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1101,Tracks counts of tag applications and fires events when counts change
FGameplayTagBlueprintPropertyMapping,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1432,Updates a blueprint property with a gameplay tag count
FGameplayTagBlueprintPropertyMap,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1479,Manages gameplay tag blueprint property mappings via ASC delegates
FGameplayTagRequirements,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1522,Encapsulates require and ignore tags
FTagContainerAggregator,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1557,Combines tags from different sources during effect execution
FGameplayEffectSpecHandle,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1623,Lets blueprints generate a GameplayEffectSpec once and reference it by handle
FMinimalReplicationTagCountMap,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h,1675,Map storing counts of tags optimized for replication
UGameplayEffectUIData,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectUIData.h,15,Base class providing game-specific data for describing a Gameplay Effect in the UI
UGameplayEffectUIData_TextOnly,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectUIData_TextOnly.h,14,Text-only GameplayEffect UI data for games that need only text
UGameplayModMagnitudeCalculation,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayModMagnitudeCalculation.h,14,Performs custom gameplay effect modifier calculations via blueprint or native code
FPredictionKey,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayPrediction.h,295,Unique ID and dependent chains of prediction keys for client prediction
FReplicatedPredictionKeyItem,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayPrediction.h,569,FastArray item for replicated prediction keys
FReplicatedPredictionKeyMap,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayPrediction.h,594,Ring-buffer FastArray of acknowledged prediction keys
FGameplayTagReponsePair,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayTagResponseTable.h,18,Tag response pair
FGameplayTagResponseTableEntry,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayTagResponseTable.h,40,Response table entry
UGameplayTagReponseTable,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayTagResponseTable.h,61,Data driven table for applying gameplay effects based on tag count
FScalableFloat,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/ScalableFloat.h,13,Generic numerical value in the form Value * Curve[Level]
FMovieSceneGameplayCueKey,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Sequencer/MovieSceneGameplayCueSections.h,18,Sequencer cue key
FMovieSceneGameplayCueChannel,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Sequencer/MovieSceneGameplayCueSections.h,78,Sequencer cue channel
UMovieSceneGameplayCueTriggerSection,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Sequencer/MovieSceneGameplayCueSections.h,155,Movie scene section that triggers gameplay cues
UMovieSceneGameplayCueSection,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Sequencer/MovieSceneGameplayCueSections.h,179,Movie scene section that triggers gameplay cues
UMovieSceneGameplayCueTrack,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Sequencer/MovieSceneGameplayCueTrack.h,19,Movie scene track that triggers gameplay cues
FGameplayAbilityRepAnimMontageNetSerializerConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/GameplayAbilityRepAnimMontageNetSerializer.h,8,Iris NetSerializer config for rep anim montage
FGameplayAbilityTargetDataHandleNetSerializerConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/GameplayAbilityTargetDataHandleNetSerializer.h,8,Iris NetSerializer config for target data handle
FGameplayAbilityTargetingLocationInfoNetSerializerConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/GameplayAbilityTargetingLocationInfoNetSerializer.h,8,Iris NetSerializer config for targeting location info
FGameplayEffectContextHandleNetSerializerConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/GameplayEffectContextHandleNetSerializer.h,8,Iris NetSerializer config for effect context handle
FGameplayEffectContextNetSerializerConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/GameplayEffectContextNetSerializer.h,8,Iris NetSerializer config for effect context
FGameplayTagCountContainerNetSerializerConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/GameplayTagCountContainerNetSerializer.h,16,Iris NetSerializer config for tag count container
FNetGameplayTagCountContainerStateForNetSerialize,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/GameplayTagCountContainerNetSerializer.h,22,Serialization state for tag count container
FMinimalGameplayCueReplicationProxyNetSerializerConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/MinimalGameplayCueReplicationProxyNetSerializer.h,8,Iris NetSerializer config for minimal cue proxy
FMinimalReplicationTagCountMapNetSerializerConfig,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/MinimalReplicationTagCountNetSerializer.h,8,Iris NetSerializer config for minimal tag count map
UTickableAttributeSetInterface,UINTERFACE,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/TickableAttributeSetInterface.h,11,Interface for attribute sets that need to tick to update state
FGameplayTagContainerNetSerializerConfig,USTRUCT,Engine/Source/Runtime/GameplayTags/Public/GameplayTagContainerNetSerializer.h,8,Iris NetSerializer config for tag containers
FGameplayTagNetSerializerConfig,USTRUCT,Engine/Source/Runtime/GameplayTags/Public/GameplayTagNetSerializer.h,8,Iris NetSerializer config for single tags
