ID,Chapter,Claim,File,StartLine,EndLine,Symbol,Confidence,ChangesWave1
EV-0110,S12,PredictionKey单测免World+GE套件需World,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Tests/PredictionKeyTests.cpp,15,138,FGameplayPredictionKeyTest_UnitTest,Verified-Src,N
EV-0111,S12,断言分布:GameplayEffect.cpp 56/GameplayAbility.cpp 50/ASC_Abilities 35,appendix/search-log.md,0,0,rg count,Verified-Src,N
EV-0112,S13,Iris适配存在:Build接线+9序列化器,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Serialization/GameplayEffectContextNetSerializer.h,8,24,FGameplayEffectContextNetSerializer,Verified-Src,Y
EV-0113,S13,TagCountContainer的Iris序列化未打通走旧路径(CVar默认false),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4669,4670,Iris tag count comment,Verified-Src,Y
EV-0114,S13,Iris插件IsBetaVersion=true EnabledByDefault=false,Engine/Plugins/Experimental/Iris/Iris.uplugin,1,30,Iris plugin descriptor,Verified-Src,N
EV-0115,S13,GAS与Mass双向零桥接(唯一共享GameplayTags),appendix/search-log.md,0,0,grep both directions,Verified-Src,Y
EV-0116,S14,堆叠字段TODO目标版本5.11,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,2405,2405,Stacking EditCondition TODO,Verified-Src,N
EV-0117,S14,5.3单体GE一次性弃用28符号组件化,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,2287,2444,UE_DEPRECATED 5.3 block,Verified-Src,N
EV-0118,S14,WITH_EDITOR 123处/!SHIPPING 24处/正向SHIPPING 2处,appendix/search-log.md,0,0,rg count,Verified-Src,N
EV-0119,S14,周期执行cue未按复制策略过滤(两处TODO),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,3200,3352,replication policy TODO,Verified-Src,N
EV-0120,S15,wave-1原文不在本机(全盘搜索0命中),appendix/search-log.md,0,0,filesystem search,Verified-Src,Y
EV-0121,S16,状态机对照20项含载体坐标,appendix/state-machine-crosswalk.csv,1,20,state crosswalk,Verified-Src,Y
EV-0122,S3,CanApplyAttributeModifiers只检查Additive的负值,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,5497,5528,FActiveGameplayEffectsContainer::CanApplyAttributeModifiers,Verified-Src,N
EV-0123,S4,MAX_DELTA_TIME=3秒决定late-join不补OnActive cue,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,2842,2858,FActiveGameplayEffect::PostReplicatedAdd,Verified-Src,N
EV-0124,S8,ReproduceStartWorldTime公式与CachedStartServerWorldTime,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,2947,2955,FActiveGameplayEffect::RecomputeStartWorldTime,Verified-Src,N
